wvg_height = 0.23 , mode = yO, SUBSRATE = True, hx_min = 0.125, hy_min = 0.2
hx = 0.125, hy = 0.2, a = 0.301, w = 0.65, gamma = 0.01693, freqs = 196.3309 , 227.2012 
hx = 0.125, hy = 0.2, a = 0.302, w = 0.65, gamma = 0.02479, freqs = 195.8332 , 226.5498 
hx = 0.125, hy = 0.2, a = 0.303, w = 0.65, gamma = 0.03023, freqs = 195.3652 , 225.9724 
hx = 0.125, hy = 0.2, a = 0.304, w = 0.65, gamma = 0.03467, freqs = 194.9003 , 225.4064 
hx = 0.125, hy = 0.2, a = 0.305, w = 0.65, gamma = 0.03842, freqs = 194.4496 , 224.9328 
hx = 0.125, hy = 0.2, a = 0.306, w = 0.65, gamma = 0.04178, freqs = 193.9847 , 224.3309 
hx = 0.125, hy = 0.2, a = 0.307, w = 0.65, gamma = 0.04472, freqs = 193.5314 , 223.7794 
hx = 0.125, hy = 0.2, a = 0.308, w = 0.65, gamma = 0.04727, freqs = 193.0952 , 223.2151 
hx = 0.125, hy = 0.225, a = 0.308, w = 0.65, gamma = 0.04743, freqs = 193.3743 , 226.0281 
hx = 0.125, hy = 0.2, a = 0.309, w = 0.65, gamma = 0.04961, freqs = 192.6546 , 222.6483 
hx = 0.125, hy = 0.225, a = 0.309, w = 0.65, gamma = 0.05003, freqs = 192.9372 , 225.4614 
hx = 0.125, hy = 0.2, a = 0.31, w = 0.65, gamma = 0.05168, freqs = 192.2482 , 222.2121 
hx = 0.125, hy = 0.225, a = 0.31, w = 0.65, gamma = 0.05237, freqs = 192.5253 , 225.0236 
hx = 0.125, hy = 0.25, a = 0.31, w = 0.65, gamma = 0.05248, freqs = 192.8459 , 227.9555 
hx = 0.125, hy = 0.2, a = 0.311, w = 0.65, gamma = 0.05366, freqs = 191.808 , 221.6395 
hx = 0.125, hy = 0.225, a = 0.311, w = 0.65, gamma = 0.05458, freqs = 192.0859 , 224.439 
hx = 0.125, hy = 0.25, a = 0.311, w = 0.65, gamma = 0.05499, freqs = 192.3951 , 227.3093 
hx = 0.125, hy = 0.2, a = 0.312, w = 0.65, gamma = 0.05547, freqs = 191.3717 , 221.0723 
hx = 0.125, hy = 0.225, a = 0.312, w = 0.65, gamma = 0.05663, freqs = 191.6443 , 223.8447 
hx = 0.125, hy = 0.25, a = 0.312, w = 0.65, gamma = 0.05728, freqs = 191.9491 , 226.6782 
hx = 0.125, hy = 0.275, a = 0.312, w = 0.65, gamma = 0.05734, freqs = 192.2897 , 229.5244 
hx = 0.125, hy = 0.225, a = 0.313, w = 0.65, gamma = 0.05852, freqs = 191.2016 , 223.2433 
hx = 0.125, hy = 0.25, a = 0.313, w = 0.65, gamma = 0.0594, freqs = 191.5051 , 226.0608 
hx = 0.125, hy = 0.275, a = 0.313, w = 0.65, gamma = 0.05969, freqs = 191.8431 , 228.86 
hx = 0.125, hy = 0.25, a = 0.314, w = 0.65, gamma = 0.06035, freqs = 191.2797 , 225.6733 
hx = 0.125, hy = 0.275, a = 0.314, w = 0.65, gamma = 0.06076, freqs = 191.618 , 228.4721 
hx = 0.125, hy = 0.225, a = 0.315, w = 0.65, gamma = 0.06106, freqs = 190.5594 , 222.4174 
hx = 0.125, hy = 0.25, a = 0.315, w = 0.65, gamma = 0.06222, freqs = 190.8604 , 225.1826 
hx = 0.125, hy = 0.275, a = 0.315, w = 0.65, gamma = 0.06282, freqs = 191.1996 , 227.9697 
hx = 0.125, hy = 0.25, a = 0.316, w = 0.65, gamma = 0.06393, freqs = 190.4249 , 224.5621 
hx = 0.125, hy = 0.275, a = 0.316, w = 0.65, gamma = 0.06473, freqs = 190.7632 , 227.3238 
hx = 0.125, hy = 0.3, a = 0.316, w = 0.65, gamma = 0.06493, freqs = 191.1369 , 230.0459 
hx = 0.125, hy = 0.25, a = 0.317, w = 0.65, gamma = 0.06552, freqs = 189.9936 , 223.9597 
hx = 0.125, hy = 0.275, a = 0.317, w = 0.65, gamma = 0.0665, freqs = 190.3264 , 226.6597 
hx = 0.125, hy = 0.3, a = 0.317, w = 0.65, gamma = 0.06692, freqs = 190.7002 , 229.3977 
hx = 0.125, hy = 0.275, a = 0.318, w = 0.65, gamma = 0.06804, freqs = 189.9335 , 226.1293 
hx = 0.125, hy = 0.3, a = 0.318, w = 0.65, gamma = 0.06864, freqs = 190.3056 , 228.854 
hx = 0.125, hy = 0.325, a = 0.318, w = 0.65, gamma = 0.06869, freqs = 190.726 , 231.6745 
hx = 0.125, hy = 0.275, a = 0.319, w = 0.65, gamma = 0.06951, freqs = 189.5283 , 225.5623 
hx = 0.125, hy = 0.3, a = 0.319, w = 0.65, gamma = 0.07031, freqs = 189.8985 , 228.2861 
hx = 0.125, hy = 0.325, a = 0.319, w = 0.65, gamma = 0.07053, freqs = 190.3194 , 231.0784 
hx = 0.125, hy = 0.275, a = 0.32, w = 0.65, gamma = 0.07087, freqs = 189.1603 , 225.1396 
hx = 0.125, hy = 0.3, a = 0.32, w = 0.65, gamma = 0.07183, freqs = 189.5344 , 227.8836 
hx = 0.125, hy = 0.325, a = 0.32, w = 0.65, gamma = 0.07217, freqs = 189.9549 , 230.6394 
hx = 0.125, hy = 0.3, a = 0.321, w = 0.65, gamma = 0.07329, freqs = 189.1265 , 227.284 
hx = 0.125, hy = 0.325, a = 0.321, w = 0.65, gamma = 0.07381, freqs = 189.5486 , 230.0351 
hx = 0.125, hy = 0.3, a = 0.322, w = 0.65, gamma = 0.07467, freqs = 188.7155 , 226.6792 
hx = 0.125, hy = 0.325, a = 0.322, w = 0.65, gamma = 0.07535, freqs = 189.1374 , 229.4066 
hx = 0.125, hy = 0.3, a = 0.323, w = 0.65, gamma = 0.07596, freqs = 188.3069 , 226.075 
hx = 0.125, hy = 0.325, a = 0.323, w = 0.65, gamma = 0.0768, freqs = 188.7311 , 228.7942 
hx = 0.125, hy = 0.35, a = 0.323, w = 0.65, gamma = 0.07688, freqs = 189.2119 , 231.4248 
hx = 0.125, hy = 0.3, a = 0.324, w = 0.65, gamma = 0.07715, freqs = 187.9024 , 225.4839 
hx = 0.125, hy = 0.325, a = 0.324, w = 0.65, gamma = 0.07814, freqs = 188.3243 , 228.171 
hx = 0.125, hy = 0.35, a = 0.324, w = 0.65, gamma = 0.07838, freqs = 188.8062 , 230.7796 
hx = 0.125, hy = 0.325, a = 0.325, w = 0.65, gamma = 0.07941, freqs = 187.9143 , 227.5388 
hx = 0.125, hy = 0.35, a = 0.325, w = 0.65, gamma = 0.07982, freqs = 188.3952 , 230.1371 
hx = 0.15, hy = 0.3, a = 0.326, w = 0.65, gamma = 0.07994, freqs = 188.9644 , 233.333 
hx = 0.125, hy = 0.325, a = 0.326, w = 0.65, gamma = 0.08062, freqs = 187.5303 , 227.0312 
hx = 0.125, hy = 0.35, a = 0.326, w = 0.65, gamma = 0.08115, freqs = 188.0115 , 229.5978 
hx = 0.15, hy = 0.3, a = 0.327, w = 0.65, gamma = 0.08162, freqs = 188.5317 , 232.695 
hx = 0.125, hy = 0.325, a = 0.327, w = 0.65, gamma = 0.08172, freqs = 187.1218 , 226.3954 
hx = 0.15, hy = 0.325, a = 0.327, w = 0.65, gamma = 0.08204, freqs = 189.0136 , 236.0346 
hx = 0.125, hy = 0.35, a = 0.327, w = 0.65, gamma = 0.0824, freqs = 187.5982 , 228.9211 
hx = 0.15, hy = 0.3, a = 0.328, w = 0.65, gamma = 0.08321, freqs = 188.0984 , 232.0626 
hx = 0.15, hy = 0.325, a = 0.328, w = 0.65, gamma = 0.08382, freqs = 188.5821 , 235.3915 
hx = 0.15, hy = 0.3, a = 0.329, w = 0.65, gamma = 0.08387, freqs = 187.8899 , 231.6767 
hx = 0.15, hy = 0.325, a = 0.329, w = 0.65, gamma = 0.08453, freqs = 188.3714 , 234.9417 
hx = 0.15, hy = 0.3, a = 0.33, w = 0.65, gamma = 0.08531, freqs = 187.4597 , 231.0456 
hx = 0.15, hy = 0.325, a = 0.33, w = 0.65, gamma = 0.08616, freqs = 187.9345 , 234.2678 
hx = 0.15, hy = 0.35, a = 0.33, w = 0.65, gamma = 0.08622, freqs = 188.4751 , 237.4901 
hx = 0.15, hy = 0.3, a = 0.331, w = 0.65, gamma = 0.08674, freqs = 187.0483 , 230.5507 
hx = 0.15, hy = 0.325, a = 0.331, w = 0.65, gamma = 0.08774, freqs = 187.5244 , 233.7641 
hx = 0.15, hy = 0.35, a = 0.331, w = 0.65, gamma = 0.08795, freqs = 188.062 , 236.9449 
hx = 0.15, hy = 0.3, a = 0.332, w = 0.65, gamma = 0.08799, freqs = 186.6256 , 229.9092 
hx = 0.15, hy = 0.325, a = 0.332, w = 0.65, gamma = 0.08915, freqs = 187.1005 , 233.0971 
hx = 0.15, hy = 0.35, a = 0.332, w = 0.65, gamma = 0.08951, freqs = 187.6321 , 236.2029 
hx = 0.15, hy = 0.325, a = 0.333, w = 0.65, gamma = 0.09047, freqs = 186.6724 , 232.404 
hx = 0.15, hy = 0.35, a = 0.333, w = 0.65, gamma = 0.09101, freqs = 187.2043 , 235.496 
hx = 0.15, hy = 0.325, a = 0.334, w = 0.65, gamma = 0.09164, freqs = 186.2846 , 231.8052 
hx = 0.15, hy = 0.35, a = 0.334, w = 0.65, gamma = 0.09233, freqs = 186.8165 , 234.8953 
hx = 0.15, hy = 0.375, a = 0.334, w = 0.65, gamma = 0.09236, freqs = 187.4115 , 238.0836 
hx = 0.15, hy = 0.325, a = 0.335, w = 0.65, gamma = 0.09274, freqs = 185.9023 , 231.2323 
hx = 0.15, hy = 0.35, a = 0.335, w = 0.65, gamma = 0.09358, freqs = 186.4291 , 234.2914 
hx = 0.15, hy = 0.375, a = 0.335, w = 0.65, gamma = 0.09375, freqs = 187.027 , 237.4561 
hx = 0.15, hy = 0.325, a = 0.336, w = 0.65, gamma = 0.09379, freqs = 185.5112 , 230.6251 
hx = 0.15, hy = 0.35, a = 0.336, w = 0.65, gamma = 0.09479, freqs = 186.0375 , 233.6808 
hx = 0.15, hy = 0.375, a = 0.336, w = 0.65, gamma = 0.09508, freqs = 186.6341 , 236.7935 
hx = 0.15, hy = 0.35, a = 0.337, w = 0.65, gamma = 0.09594, freqs = 185.6846 , 233.2353 
hx = 0.15, hy = 0.375, a = 0.337, w = 0.65, gamma = 0.09632, freqs = 186.2821 , 236.3136 
hx = 0.15, hy = 0.35, a = 0.338, w = 0.65, gamma = 0.097, freqs = 185.294 , 232.5972 
hx = 0.15, hy = 0.375, a = 0.338, w = 0.65, gamma = 0.09752, freqs = 185.8931 , 235.6556 
hx = 0.15, hy = 0.35, a = 0.339, w = 0.65, gamma = 0.09801, freqs = 184.9055 , 231.9828 
hx = 0.15, hy = 0.375, a = 0.339, w = 0.65, gamma = 0.09865, freqs = 185.5036 , 234.9945 
hx = 0.15, hy = 0.35, a = 0.34, w = 0.65, gamma = 0.09897, freqs = 184.5184 , 231.3695 
hx = 0.15, hy = 0.375, a = 0.34, w = 0.65, gamma = 0.09972, freqs = 185.1154 , 234.3347 
hx = 0.15, hy = 0.35, a = 0.341, w = 0.65, gamma = 0.09986, freqs = 184.1264 , 230.7361 
hx = 0.15, hy = 0.375, a = 0.341, w = 0.65, gamma = 0.10073, freqs = 184.7236 , 233.6653 
hx = 0.15, hy = 0.375, a = 0.342, w = 0.65, gamma = 0.10169, freqs = 184.3309 , 232.9986 
hx = 0.15, hy = 0.4, a = 0.342, w = 0.65, gamma = 0.10174, freqs = 185.0088 , 235.7686 
hx = 0.15, hy = 0.375, a = 0.343, w = 0.65, gamma = 0.10263, freqs = 183.9658 , 232.4634 
hx = 0.15, hy = 0.4, a = 0.343, w = 0.65, gamma = 0.10278, freqs = 184.6464 , 235.2065 
hx = 0.175, hy = 0.35, a = 0.344, w = 0.65, gamma = 0.10312, freqs = 185.3302 , 238.5732 
hx = 0.15, hy = 0.375, a = 0.344, w = 0.65, gamma = 0.10346, freqs = 183.5745 , 231.7858 
hx = 0.15, hy = 0.4, a = 0.344, w = 0.65, gamma = 0.10374, freqs = 184.2484 , 234.4752 
hx = 0.175, hy = 0.375, a = 0.345, w = 0.65, gamma = 0.10393, freqs = 185.7876 , 241.7752 
hx = 0.15, hy = 0.4, a = 0.345, w = 0.65, gamma = 0.10404, freqs = 184.0568 , 234.0019 
hx = 0.175, hy = 0.35, a = 0.346, w = 0.65, gamma = 0.10496, freqs = 184.7072 , 237.5085 
hx = 0.175, hy = 0.375, a = 0.346, w = 0.65, gamma = 0.10538, freqs = 185.3625 , 241.0761 
hx = 0.175, hy = 0.35, a = 0.347, w = 0.65, gamma = 0.10618, freqs = 184.2848 , 236.8469 
hx = 0.175, hy = 0.375, a = 0.347, w = 0.65, gamma = 0.10676, freqs = 184.9367 , 240.3694 
hx = 0.175, hy = 0.35, a = 0.348, w = 0.65, gamma = 0.10735, freqs = 183.8604 , 236.1772 
hx = 0.175, hy = 0.375, a = 0.348, w = 0.65, gamma = 0.10807, freqs = 184.5136 , 239.6739 
hx = 0.175, hy = 0.35, a = 0.349, w = 0.65, gamma = 0.10857, freqs = 183.449 , 235.6621 
hx = 0.175, hy = 0.375, a = 0.349, w = 0.65, gamma = 0.10941, freqs = 184.0988 , 239.1122 
hx = 0.175, hy = 0.35, a = 0.35, w = 0.65, gamma = 0.10958, freqs = 183.0314 , 234.9787 
hx = 0.175, hy = 0.375, a = 0.35, w = 0.65, gamma = 0.11056, freqs = 183.6795 , 238.3933 
hx = 0.175, hy = 0.4, a = 0.35, w = 0.65, gamma = 0.11061, freqs = 184.4223 , 241.8189 
hx = 0.175, hy = 0.375, a = 0.351, w = 0.65, gamma = 0.11164, freqs = 183.2608 , 237.6743 
hx = 0.175, hy = 0.4, a = 0.351, w = 0.65, gamma = 0.11186, freqs = 184.0004 , 241.0764 
hx = 0.175, hy = 0.375, a = 0.352, w = 0.65, gamma = 0.11262, freqs = 182.8791 , 237.0512 
hx = 0.175, hy = 0.4, a = 0.352, w = 0.65, gamma = 0.11297, freqs = 183.6171 , 240.4266 
hx = 0.175, hy = 0.375, a = 0.353, w = 0.65, gamma = 0.11353, freqs = 182.5028 , 236.4421 
hx = 0.175, hy = 0.4, a = 0.353, w = 0.65, gamma = 0.11402, freqs = 183.2397 , 239.7915 
hx = 0.175, hy = 0.375, a = 0.354, w = 0.65, gamma = 0.11447, freqs = 182.0806 , 235.7238 
hx = 0.175, hy = 0.4, a = 0.354, w = 0.65, gamma = 0.11508, freqs = 182.8099 , 238.9984 
hx = 0.175, hy = 0.375, a = 0.355, w = 0.65, gamma = 0.11521, freqs = 181.8166 , 235.4284 
hx = 0.175, hy = 0.4, a = 0.355, w = 0.65, gamma = 0.11586, freqs = 182.5399 , 238.6343 
hx = 0.175, hy = 0.375, a = 0.356, w = 0.65, gamma = 0.11589, freqs = 181.4551 , 234.7774 
hx = 0.175, hy = 0.4, a = 0.356, w = 0.65, gamma = 0.11667, freqs = 182.1817 , 237.9834 
hx = 0.175, hy = 0.4, a = 0.357, w = 0.65, gamma = 0.11748, freqs = 181.8304 , 237.3876 
hx = 0.175, hy = 0.4, a = 0.358, w = 0.65, gamma = 0.11823, freqs = 181.4713 , 236.7493 
hx = 0.175, hy = 0.4, a = 0.359, w = 0.65, gamma = 0.11895, freqs = 181.1097 , 236.1133 
hx = 0.175, hy = 0.425, a = 0.359, w = 0.65, gamma = 0.11899, freqs = 181.9402 , 239.1204 
hx = 0.175, hy = 0.4, a = 0.36, w = 0.65, gamma = 0.11961, freqs = 180.7476 , 235.465 
hx = 0.175, hy = 0.425, a = 0.36, w = 0.65, gamma = 0.11976, freqs = 181.5844 , 238.4583 
hx = 0.175, hy = 0.4, a = 0.361, w = 0.65, gamma = 0.12022, freqs = 180.3786 , 234.7882 
hx = 0.175, hy = 0.425, a = 0.361, w = 0.65, gamma = 0.12045, freqs = 181.2088 , 237.6972 
hx = 0.2, hy = 0.375, a = 0.362, w = 0.65, gamma = 0.12076, freqs = 182.0402 , 241.1253 
hx = 0.175, hy = 0.4, a = 0.362, w = 0.65, gamma = 0.12083, freqs = 180.0913 , 234.3863 
hx = 0.2, hy = 0.4, a = 0.362, w = 0.65, gamma = 0.12119, freqs = 182.8181 , 244.9723 
hx = 0.2, hy = 0.375, a = 0.363, w = 0.65, gamma = 0.12175, freqs = 181.6515 , 240.4801 
hx = 0.2, hy = 0.4, a = 0.363, w = 0.65, gamma = 0.12234, freqs = 182.4244 , 244.3021 
hx = 0.2, hy = 0.4, a = 0.364, w = 0.65, gamma = 0.12238, freqs = 182.3286 , 243.913 
hx = 0.2, hy = 0.375, a = 0.365, w = 0.65, gamma = 0.12269, freqs = 181.1603 , 239.4531 
hx = 0.2, hy = 0.4, a = 0.365, w = 0.65, gamma = 0.12341, freqs = 181.9457 , 243.2407 
hx = 0.2, hy = 0.375, a = 0.366, w = 0.65, gamma = 0.12354, freqs = 180.7733 , 238.7861 
hx = 0.2, hy = 0.4, a = 0.366, w = 0.65, gamma = 0.12436, freqs = 181.5657 , 242.5464 
hx = 0.2, hy = 0.4, a = 0.367, w = 0.65, gamma = 0.12533, freqs = 181.1633 , 241.8188 
hx = 0.2, hy = 0.4, a = 0.368, w = 0.65, gamma = 0.12631, freqs = 180.8331 , 241.4235 
hx = 0.2, hy = 0.4, a = 0.369, w = 0.65, gamma = 0.12712, freqs = 180.446 , 240.6928 
hx = 0.2, hy = 0.4, a = 0.37, w = 0.65, gamma = 0.12787, freqs = 180.0702 , 239.9886 
hx = 0.2, hy = 0.425, a = 0.37, w = 0.65, gamma = 0.12796, freqs = 180.951 , 243.4036 
hx = 0.2, hy = 0.4, a = 0.371, w = 0.65, gamma = 0.1286, freqs = 179.6947 , 239.3058 
hx = 0.2, hy = 0.425, a = 0.371, w = 0.65, gamma = 0.12882, freqs = 180.5681 , 242.6653 
hx = 0.2, hy = 0.4, a = 0.372, w = 0.65, gamma = 0.12924, freqs = 179.3422 , 238.6583 
hx = 0.2, hy = 0.425, a = 0.372, w = 0.65, gamma = 0.12956, freqs = 180.2209 , 242.0074 
hx = 0.2, hy = 0.4, a = 0.373, w = 0.65, gamma = 0.12979, freqs = 178.9976 , 237.9962 
hx = 0.2, hy = 0.425, a = 0.373, w = 0.65, gamma = 0.13026, freqs = 179.8843 , 241.3813 
hx = 0.2, hy = 0.4, a = 0.374, w = 0.65, gamma = 0.13036, freqs = 178.6521 , 237.3774 
hx = 0.2, hy = 0.425, a = 0.374, w = 0.65, gamma = 0.13094, freqs = 179.5383 , 240.7356 
hx = 0.2, hy = 0.425, a = 0.375, w = 0.65, gamma = 0.1316, freqs = 179.1807 , 240.0603 
