wvg_height = 0.15 , mode = yO, SUBSRATE = True, hx_min = 0.1, hy_min = 0.15
hx = 0.1, hy = 0.15, a = 0.348, w = 0.65, gamma = 0.00818, freqs = 196.586 , 213.5913 
hx = 0.1, hy = 0.15, a = 0.349, w = 0.65, gamma = 0.01369, freqs = 196.2774 , 213.2656 
hx = 0.1, hy = 0.15, a = 0.35, w = 0.65, gamma = 0.01784, freqs = 195.9261 , 212.8262 
hx = 0.1, hy = 0.15, a = 0.351, w = 0.65, gamma = 0.02104, freqs = 195.5749 , 212.3893 
hx = 0.1, hy = 0.15, a = 0.352, w = 0.65, gamma = 0.02339, freqs = 195.2646 , 211.9875 
hx = 0.1, hy = 0.175, a = 0.352, w = 0.65, gamma = 0.0236, freqs = 195.3869 , 213.8251 
hx = 0.1, hy = 0.15, a = 0.353, w = 0.65, gamma = 0.02548, freqs = 194.9467 , 211.6022 
hx = 0.1, hy = 0.175, a = 0.353, w = 0.65, gamma = 0.02595, freqs = 195.069 , 213.427 
hx = 0.1, hy = 0.15, a = 0.354, w = 0.65, gamma = 0.02734, freqs = 194.6171 , 211.154 
hx = 0.1, hy = 0.175, a = 0.354, w = 0.65, gamma = 0.02806, freqs = 194.7396 , 213.0003 
hx = 0.1, hy = 0.2, a = 0.354, w = 0.65, gamma = 0.02824, freqs = 194.888 , 214.6797 
hx = 0.1, hy = 0.15, a = 0.355, w = 0.65, gamma = 0.02872, freqs = 194.3616 , 210.9133 
hx = 0.1, hy = 0.175, a = 0.355, w = 0.65, gamma = 0.02958, freqs = 194.4844 , 212.7443 
hx = 0.1, hy = 0.2, a = 0.355, w = 0.65, gamma = 0.02991, freqs = 194.6324 , 214.4018 
hx = 0.1, hy = 0.15, a = 0.356, w = 0.65, gamma = 0.03021, freqs = 194.0346 , 210.4832 
hx = 0.125, hy = 0.15, a = 0.356, w = 0.65, gamma = 0.03075, freqs = 194.6674 , 215.8588 
hx = 0.1, hy = 0.175, a = 0.356, w = 0.65, gamma = 0.03125, freqs = 194.1594 , 212.3074 
hx = 0.1, hy = 0.2, a = 0.356, w = 0.65, gamma = 0.03179, freqs = 194.3069 , 213.9681 
hx = 0.1, hy = 0.225, a = 0.356, w = 0.65, gamma = 0.03196, freqs = 194.4841 , 215.6918 
hx = 0.125, hy = 0.15, a = 0.357, w = 0.65, gamma = 0.03281, freqs = 194.3378 , 215.4633 
